shop_id,item_id,date_block_num,month,year,month_sin,month_cos,global_mean,global_sum,global_pairs,item_mean,item_shops,shop_mean,shop_items,log_price_last,item_log_price_mean,price_gap_item,price_missing_last,cnt_lag_1,cnt_lag_2,cnt_lag_3,cnt_lag_4,cnt_lag_5,cnt_lag_6,cnt_lag_12,sum_3,mean_3,std_3,max_3,nz_3,sum_6,mean_6,std_6,max_6,nz_6,rate_6,mean_nonzero_6,interval_6,active_1,dead_6,recency,trend_1_3,trend_1_12,ratio_1_12,sold_cum_lag1,log_sales_cum_lag1,never_sold_before
2,38,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,0.0,0.0,1.6295455,440.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,42,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.7037826,5.7037826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,45,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.7037826,5.7037826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,51,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,1.0,2.0,1.6295455,440.0,5.7037826,5.7037826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,57,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.7037826,5.7037826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,62,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,1.117647,17.0,1.6295455,440.0,5.6845055,5.6845055,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,64,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,4.6051702,4.6051702,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,69,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,12.0,1.0,1.6295455,440.0,5.525453,5.525453,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,72,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,0.0,0.0,1.6295455,440.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,80,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,0.0,0.0,1.6295455,440.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,83,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,0.0,0.0,1.6295455,440.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,88,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,0.0,0.0,1.6295455,440.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,91,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,2.1333334,15.0,1.6295455,440.0,5.2983174,5.2983174,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,93,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.521461,5.521461,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,109,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,0.0,0.0,1.6295455,440.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,138,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,1.0,2.0,1.6295455,440.0,5.521461,5.521461,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
2,140,34,10,2,-0.8660254,0.5,1.9530938,61583.0,31531.0,0.0,0.0,1.6295455,440.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6e+06,0,1,99,0.0,0.0,0.0,0,0.0,1
