date_block_num,month,year,month_sin,month_cos,shop_id,item_id,global_mean,global_sum,global_pairs,item_mean,item_shops,shop_mean,shop_items,log_price_last,item_log_price_mean,price_gap_item,price_missing_last,cnt_lag_1,cnt_lag_2,cnt_lag_3,cnt_lag_4,cnt_lag_5,cnt_lag_6,cnt_lag_12,sum_3,mean_3,std_3,max_3,nz_3,sum_6,mean_6,std_6,max_6,nz_6,rate_6,mean_nonzero_6,interval_6,active_1,dead_6,recency,trend_1_3,trend_1_12,ratio_1_12,sold_cum_lag1,log_sales_cum_lag1,never_sold_before
34,10,2,-0.8660254,0.5,2,30,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.1357985,4.8675346,0.26826382,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6000000.0,0,1,18,0.0,0.0,0.0,4,1.609438,0
34,10,2,-0.8660254,0.5,2,31,1.9530938,61583.0,31531.0,1.2857143,14.0,1.6295455,440.0,5.9914646,5.9550967,0.036367893,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333334,0.47140452,1.0,1,1.0,0.16666667,0.372678,1.0,1,0.16666667,0.99999905,5.9999943,1,0,1,1.0,1.0,1000000.0,5,2.1972246,0
34,10,2,-0.8660254,0.5,2,32,1.9530938,61583.0,31531.0,1.4666667,15.0,1.6295455,440.0,5.0106354,5.0106354,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33333334,0.47140452,1.0,1,1.0,0.16666667,0.372678,1.0,1,0.16666667,0.99999905,5.9999943,0,0,3,-1.0,0.0,0.0,8,2.4849067,0
34,10,2,-0.8660254,0.5,2,33,1.9530938,61583.0,31531.0,1.2307693,13.0,1.6295455,440.0,5.2983174,5.282813,0.01550436,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.33333334,0.47140452,1.0,1,3.0,0.5,0.5,1.0,1,0.16666667,2.9999971,5.9999943,0,0,2,0.0,0.0,0.0,10,2.4849067,0
34,10,2,-0.8660254,0.5,2,38,1.9530938,61583.0,31531.0,0.0,0.0,1.6295455,440.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6000000.0,0,1,99,0.0,0.0,0.0,0,0.0,1
34,10,2,-0.8660254,0.5,2,42,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.7037826,5.7037826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6000000.0,0,1,99,0.0,0.0,0.0,0,0.0,1
34,10,2,-0.8660254,0.5,2,45,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.7037826,5.7037826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6000000.0,0,1,99,0.0,0.0,0.0,0,0.0,1
34,10,2,-0.8660254,0.5,2,51,1.9530938,61583.0,31531.0,1.0,2.0,1.6295455,440.0,5.7037826,5.7037826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6000000.0,0,1,99,0.0,0.0,0.0,0,0.0,1
34,10,2,-0.8660254,0.5,2,53,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.7037826,5.7037826,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6000000.0,0,1,9,0.0,0.0,0.0,1,0.6931472,0
34,10,2,-0.8660254,0.5,2,57,1.9530938,61583.0,31531.0,1.0,1.0,1.6295455,440.0,5.7037826,5.7037826,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6000000.0,0,1,99,0.0,0.0,0.0,0,0.0,1
34,10,2,-0.8660254,0.5,2,59,1.9530938,61583.0,31531.0,2.0,2.0,1.6295455,440.0,5.521461,5.521461,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6000000.0,0,1,9,0.0,0.0,0.0,1,0.6931472,0
