shop_id,item_id,prediction,forecast_month
2,30,0.6013997,next_month
2,31,0.031845793,next_month
2,32,1.1222827,next_month
2,33,0.31520805,next_month
2,38,0.031845793,next_month
2,42,0.5480719,next_month
2,45,1.0254546,next_month
2,51,0.19313546,next_month
2,53,0.81218696,next_month
2,57,0.53553164,next_month
2,59,2.6991477,next_month
2,62,0.22635433,next_month
2,64,0.12201412,next_month
2,67,0.5297356,next_month
2,69,1.4072213,next_month
2,70,2.365328,next_month
2,72,0.04739876,next_month
2,76,0.17330545,next_month
2,80,1.2157801,next_month
2,83,0.20045471,next_month
2,88,0.6740312,next_month
2,91,0.18510953,next_month
2,93,0.98687345,next_month
2,109,0.5756292,next_month
2,138,1.1068039,next_month
2,140,0.25759715,next_month
2,149,0.14082748,next_month
2,153,0.5426318,next_month
2,154,0.91189677,next_month
2,166,3.734553,next_month
2,168,0.70449966,next_month
2,173,0.11405906,next_month
2,180,0.70814437,next_month
2,202,0.82527685,next_month
2,204,0.041628238,next_month
2,205,0.07020649,next_month
2,213,0.086820416,next_month
2,226,0.88012755,next_month
2,234,0.16239254,next_month
2,237,0.122317,next_month
2,248,0.46992415,next_month
2,249,1.0640982,next_month
2,253,2.7155194,next_month
2,254,3.2942643,next_month
2,259,1.2844684,next_month
2,269,0.031845793,next_month
2,302,1.1485993,next_month
2,308,0.34296936,next_month
2,313,0.7068526,next_month
2,315,0.7128749,next_month
2,325,1.2235234,next_month
2,342,0.39071313,next_month
2,353,0.4722207,next_month
2,356,0.2877104,next_month
2,388,5.6259303,next_month
2,402,2.7658052,next_month
2,407,1.8345189,next_month
2,408,1.9887686,next_month
2,413,2.549579,next_month
2,421,2.8777864,next_month
2,428,2.6974056,next_month
2,430,0.2871487,next_month
2,445,0.27210268,next_month
2,448,0.23315535,next_month
2,454,0.031845793,next_month
2,464,0.031845793,next_month
2,473,0.48907372,next_month
2,474,0.08452112,next_month
2,477,0.48161873,next_month
2,478,0.28202027,next_month
2,480,0.031845793,next_month
2,482,1.6366197,next_month
2,486,0.14720866,next_month
2,491,0.8631568,next_month
2,492,0.031845793,next_month
2,494,0.031845793,next_month
2,496,0.24316226,next_month
